TT;buffer_h;rope_cap;n_tf_orden;lead_time;lead_time_sd;OTD;avg_wip;cb_util;cb_starv;buf_wait;replica
500;2.0;2;6;16,79167257;10,18128504;57,88888889;11,59519591;69,15568045;30,84431955;0,551400329;3
500;2.0;2;6;50,70827252;27,16617855;13,11111111;38,56923183;81,60529849;18,39470151;0,630527943;4
500;2.0;2;6;22,99770879;14,10500088;40,88888889;17,20847044;71,51882545;28,48117455;0,519566214;5
500;2.0;2;6;31,56404109;24,33914993;34,77777778;23,5156612;76,04801354;23,95198646;0,571983277;6
500;2.0;2;6;27,75419391;20,50819359;38,66666667;20,30143952;72,71830284;27,28169716;0,535429877;7
500;2.0;2;6;57,54544095;32,59432574;12,55555556;43,70208931;77,40793342;22,59206658;0,569423656;8
500;2.0;2;6;35,77012599;24,53870017;33,22222222;26,63574946;75,97361814;24,02638186;0,546669594;9
500;2.0;2;6;43,86267134;31,17709525;24,77777778;33,83658002;73,98796871;26,01203129;0,534233395;10
500;2.0;2;6;58,30120694;38,88330919;15,66666667;46,21870413;78,73767809;21,26232191;0,56064356;11
500;2.0;2;6;63,06408621;33,69435714;9,333333333;47,28844457;80,68959035;19,31040965;0,638147613;12
500;2.0;2;6;31,79496166;23,64386926;35,44444444;23,27129358;76,44501055;23,55498945;0,602140389;13
500;2.0;2;6;28,3754469;16,49230401;32,66666667;21,26070784;75,62697791;24,37302209;0,549349679;14
500;2.0;2;6;44,19320107;26,99400082;21,33333333;34,2168083;77,9354233;22,0645767;0,55881283;15
500;2.0;2;6;32,65390099;22,30183992;32,55555556;23,63333182;75,83745796;24,16254204;0,606594772;16
500;2.0;2;6;55,07357585;35,05892014;26,77777778;43,68569353;77,79010577;22,20989423;0,543043524;17
500;2.0;2;6;47,41834435;24,32632016;14,66666667;34,24628424;77,73917326;22,26082674;0,589779477;18
500;2.0;2;6;49,61241222;32,66158085;11,55555556;38,74979177;79,70099986;20,29900014;0,581002641;19
500;2.0;2;6;137,8771732;67,42589212;4;106,6289818;78,36283193;21,63716807;0,572257374;20
500;2.0;2;6;111,9432653;47,78399418;4,111111111;85,39337842;79,27730508;20,72269492;0,595096857;21
500;2.0;2;6;73,39442235;37,50382802;11,88888889;58,4016385;81,42866013;18,57133987;0,585391619;22
500;2.0;2;6;17,09239402;11,67263798;61,66666667;11,30512553;65,18597092;34,81402908;0,523913174;23
500;2.0;2;6;31,33421146;17,9211125;26,11111111;23,07445598;75,62028669;24,37971331;0,556113527;24
500;2.0;2;6;23,97181073;15,73117883;43,11111111;17,02006908;72,10380315;27,89619685;0,539485787;25
